Number of Classes,Line Coverage %,Line Coverage,Mutation Coverage %,Mutation Coverage,
481,57%,31181/54951,33%,11395/34245,
Name,Number of Classes,Line Coverage %,Line Coverage,Mutation Coverage %,Mutation Coverage
org.jfree.chart,18,50%,1886/3764,22%,451/2033
org.jfree.chart.annotations,16,58%,850/1475,30%,289/958
org.jfree.chart.axis,37,57%,3449/6020,27%,1022/3783
org.jfree.chart.block,15,71%,942/1325,46%,347/750
org.jfree.chart.date,2,44%,111/254,33%,82/250
org.jfree.chart.editor,10,0%,0/928,0%,0/379
org.jfree.chart.encoders,4,0%,0/98,0%,0/40
org.jfree.chart.entity,12,38%,166/440,25%,62/246
org.jfree.chart.event,8,72%,41/57,15%,13-Feb
org.jfree.chart.imagemap,5,50%,53/105,53%,20/38
org.jfree.chart.labels,25,57%,567/1000,47%,197/418
org.jfree.chart.needle,10,31%,124/399,21%,68/320
org.jfree.chart.panel,2,11%,34/305,5%,9/165
org.jfree.chart.plot,34,68%,7115/10402,32%,2112/6560
org.jfree.chart.plot.dial,12,58%,817/1415,32%,297/935
org.jfree.chart.renderer,10,62%,963/1551,49%,473/974
org.jfree.chart.renderer.category,21,54%,2204/4101,18%,454/2482
org.jfree.chart.renderer.xy,31,40%,2334/5907,20%,720/3583
org.jfree.chart.resources,1,0%,0/9,0%,0/1
org.jfree.chart.text,7,75%,521/699,23%,98/428
org.jfree.chart.title,10,56%,732/1303,29%,217/746
org.jfree.chart.ui,16,32%,251/780,11%,63/577
org.jfree.chart.urls,9,79%,263/333,61%,110/181
org.jfree.chart.util,26,47%,779/1658,36%,455/1276
org.jfree.data,14,81%,892/1108,67%,530/790
org.jfree.data.category,4,79%,339/428,72%,225/311
org.jfree.data.function,4,81%,62/77,51%,31/61
org.jfree.data.gantt,5,65%,307/474,47%,139/295
org.jfree.data.general,12,72%,959/1328,62%,575/929
org.jfree.data.io,1,0%,0/59,0%,0/30
org.jfree.data.jdbc,3,0%,0/258,0%,0/128
org.jfree.data.json,1,0%,0/69,0%,0/43
org.jfree.data.json.impl,3,0%,0/190,0%,0/120
org.jfree.data.resources,6,17%,6/36,17%,06-Jan
org.jfree.data.statistics,13,76%,1100/1452,57%,600/1050
org.jfree.data.time,23,63%,1640/2585,50%,851/1693
org.jfree.data.time.ohlc,4,66%,105/158,51%,49/97
org.jfree.data.xml,8,0%,0/221,0%,0/72
org.jfree.data.xy,39,72%,1569/2180,57%,846/1484
